Variable Tested,Instantaneous Error,Count
Temp + AmbTemp,0.004993935568,1
Temp + AmbTemp,0.1387811121,2
Temp + AmbTemp,0.003412714007,3
Temp + AmbTemp,0.03671637802,4
Temp + AmbTemp,0.03071498898,5
Temp + AmbTemp,0.04616296073,6
Temp + AmbTemp,0.006413703937,7
Temp + AmbTemp,0.0376985966,8
Temp + AmbTemp,0.03121904388,9
Temp + AmbTemp,0.06008910471,10
Temp + AmbTemp,0.03078467821,11
Temp + AmbTemp,0.06428478069,12
Temp + AmbTemp,0.08949570955,13
Temp + AmbTemp,0.02304653573,14
Temp + AmbTemp,0.03898445678,15
Temp + AmbTemp,0.01662480895,16
Temp + AmbTemp,0.1682482951,17
Temp + AmbTemp,0.02603435577,18
Temp + AmbTemp,0.05302776895,19
Temp + AmbTemp,0.04253136514,20
Temp + AmbTemp,0.04813643065,21
Temp + AmbTemp,0.1378294068,22
Temp + AmbTemp,0.01474287126,23
Temp + AmbTemp,0.006162787058,24
Temp + AmbTemp,0.008356627494,25
Temp + AmbTemp,0.04309998599,26
Temp + AmbTemp,0.03212424243,27
Temp + AmbTemp,0.009274450314,28
Temp + AmbTemp,0.001802896699,29
Temp + AmbTemp,0.03166294306,30
Temp + AmbTemp,0.0495476617,31
Temp + AmbTemp,0.03558792063,32
Temp + AmbTemp,0.05408990691,33
Temp + AmbTemp,0.01387176749,34
Temp + AmbTemp,0.01658257981,35
Temp + AmbTemp,0.009283593828,36
Temp + AmbTemp,0.05575505119,37
Temp + AmbTemp,0.04861929818,38
Temp + AmbTemp,0.09896917185,39
Temp + AmbTemp,0.05347679938,40
Temp + AmbTemp,0.03605392584,41
Temp + AmbTemp,0.05631339596,42
Neither,0.0008351507858,1
Neither,0.03593576511,2
Neither,0.02084145521,3
Neither,0.00140297375,4
Neither,0.04181034879,5
Neither,0.04503618549,6
Neither,0.01582471981,7
Neither,0.03873346632,8
Neither,0.03050087189,9
Neither,0.04015435529,10
Neither,0.0108061573,11
Neither,0.03961264747,12
Neither,0.0697566604,13
Neither,0.007511250373,14
Neither,0.01089264419,15
Neither,0.02403277909,16
Neither,0.04719268821,17
Neither,0.04118170645,18
Neither,0.1048516175,19
Neither,0.03189128074,20
Neither,0.0429318252,21
Neither,0.001313719933,22
Neither,0.1590958505,23
Neither,0.05164438675,24
Neither,0.04106933993,25
Neither,0.0002736545057,26
Neither,0.051907216,27
Neither,0.008478605403,28
Neither,0.059845776,29
Neither,0.01958306584,30
Neither,0.03481430102,31
Neither,0.01202162079,32
Neither,0.08415519643,33
Neither,0.006165837976,34
Neither,0.0495224706,35
Neither,0.08215847901,36
Neither,0.07748907084,37
Neither,0.04519428967,38
Neither,0.01142234317,39
Neither,0.1809360378,40
Neither,0.1981296607,41
Neither,0.04791862696,42
Temp,0.1881744393,1
Temp,0.03733317446,2
Temp,0.0365636188,3
Temp,0.006401423057,4
Temp,0.06415509144,5
Temp,0.005467735582,6
Temp,0.00601359197,7
Temp,0.05786927686,8
Temp,0.1315937815,9
Temp,0.006940494451,10
Temp,0.05347194864,11
Temp,0.03287688856,12
Temp,0.03355986439,13
Temp,0.1150694272,14
Temp,0.07888261114,15
Temp,0.0149918468,16
Temp,0.007676747745,17
Temp,0.1059063445,18
Temp,0.03060690123,19
Temp,0.03146108709,20
Temp,0.07140472376,21
Temp,0.03995868045,22
Temp,0.005113758571,23
Temp,0.1028252762,24
Temp,0.04503162329,25
Temp,0.06859237505,26
Temp,0.02589858395,27
Temp,0.02660610476,28
Temp,0.05338531199,29
Temp,0.02958499781,30
Temp,0.02655387662,31
Temp,0.05749644784,32
Temp,0.00412099738,33
Temp,0.09629610542,34
Temp,0.00758098698,35
Temp,0.02805731067,36
Temp,0.06624257863,37
Temp,0.02239682274,38
Temp,0.1656290967,39
Temp,0.02749397007,40
Temp,0.02916421894,41
Temp,0.02613932133,42
AmbTemp,0.04542756739,1
AmbTemp,0.01380993641,2
AmbTemp,0.002424413955,3
AmbTemp,0.0980780885,4
AmbTemp,0.01763565547,5
AmbTemp,0.02393817919,6
AmbTemp,0.03750118614,7
AmbTemp,0.01820655375,8
AmbTemp,0.00566329355,9
AmbTemp,0.03001083889,10
AmbTemp,0.008586275656,11
AmbTemp,0.02709821738,12
AmbTemp,0.03641167765,13
AmbTemp,0.08921975754,14
AmbTemp,0.03806170466,15
AmbTemp,0.02782452787,16
AmbTemp,0.02447563546,17
AmbTemp,0.1002294766,18
AmbTemp,0.01705836659,19
AmbTemp,0.09032090109,20
AmbTemp,0.002603694078,21
AmbTemp,0.09839287191,22
AmbTemp,0.07531898215,23
AmbTemp,0.01398325002,24
AmbTemp,0.03234402107,25
AmbTemp,0.05204777296,26
AmbTemp,0.004263933892,27
AmbTemp,0.0395223346,28
AmbTemp,0.1159976783,29
AmbTemp,0.04631432974,30
AmbTemp,0.03930005935,31
AmbTemp,0.1722410413,32
AmbTemp,0.1347887164,33
AmbTemp,0.005532338879,34
AmbTemp,0.01745938781,35
AmbTemp,0.002139603549,36
AmbTemp,0.005781460193,37
AmbTemp,0.06228652169,38
AmbTemp,0.002146796461,39
AmbTemp,0.03975158134,40
AmbTemp,0.05419460853,41
AmbTemp,0.0004149517146,42
